conjugated,infinitive
steeplechasing,steeplechase
overbought,overbuy
thrusts,thrust
prided,pride
moved,move
calumniates,calumniate
outshines,outshine
clapt,clap
hiding,hide
skiving,skive
unclad,unclothe
thriven,thrive
undressing,undress
mislays,mislay
soothsaid,soothsay
burnished,burnish
items,item
yellowing,yellow
showing,show
got,get
treads,tread
razeed,raze
drave,drive
ritualized,ritualize
wending,wend
beholds,behold
wawling,wawl
grosses,gross
dared,dare
covets,covet
retaken,retake
continuing,continue
abrading,abrade
blew,blow
outswore,outswear
runs,run
crusts,crust
scrammed,scram
overloaded,overload
psyching,psych
accumulates,accumulate
bitten,bite
exteriorized,exteriorize
writhen,writhe
delimits,delimit
koshered,kosher
chording,chord
buzzes,buzz
mistaking,mistake
rephrases,rephrase
longing,long
predicting,predict
lisped,lisp
paid,pay
lipreads,lipread
kept,keep
blessed,bless
yellows,yellow
insuring,insure
acceded,accede
torn,tear
splitting,split
foreran,forerun
braking,brake
rethought,rethink
threw,throw
slopes,slope
invalids,invalid
doing,do
slang,sling
values,value
saws,saw
hurts,hurt
despises,despise
rewrites,rewrite
overcrowding,overcrowd
weds,wed
tears,tear
extends,extend
illuminated,illuminate
relaying,relay
redeployed,redeploy
fronting,front
polymerizes,polymerize
valued,value
emceed,emcee
fraternized,fraternize
boldfacing,boldface
overruns,overrun
readjusting,readjust
undressed,undress
adzes,adze
toying,toy
browbeaten,browbeat
frilling,frill
kenning,ken
made,make
fitting,fit
baulking,baulk
dappling,dapple
chose,choose
fused,fuse
wauled,waul
forming,form
forspoken,forspeak
strang,string
unreels,unreel
refocusses,refocus
been,be
boycotting,boycott
willing,will
bushwhacked,bushwhack
lends,lend
lying,lie
undergirds,undergird
broke,break
fights,fight
rights,right
militating,militate
nicking,nick
ringing,ring
driven,drive
ritualizing,ritualize
lands,land
decentralizing,decentralize
rerunning,rerun
transforming,transform
partook,partake
preyed,prey
spits,spit
exceeded,exceed
garnishing,garnish
frore,freeze
shoots,shoot
nomen,nim
beaches,beach
waking,wake
stripping,strip
chastising,chastise
builded,build
makes,make
descrying,descry
reruns,rerun
foredated,foredate
adjured,adjure
chelated,chelate
fosters,foster
gleed,glee
dreaming,dream
spitted,spit
prevaricates,prevaricate
overbuilding,overbuild
underpinned,underpin
ridded,rid
burnishing,burnish
lighted,light
whirs,whir
flown,fly
whirred,whir
gainsaying,gainsay
misbore,misbear
buzzing,buzz
slidden,slide
shedding,shed
benam,benim
overbuilt,overbuild
liquoring,liquor
tinselling,tinsel
shivers,shiver
sublets,sublet
learns,learn
vitiated,vitiate
depicts,depict
extemporises,extemporise
inviting,invite
strews,strew
despaired,despair
resettling,resettle
spent,spend
stays,stay
compels,compel
outthrown,outthrow
grossing,gross
wroke,wreak
beached,beach
breaks,break
overspilling,overspill
pistoled,pistol
graving,grave
benimmed,benim
overbuilds,overbuild
swearing,swear
sending,send
boycotted,boycott
slobbering,slobber
misshapen,misshape
marshaled,marshal
sought,seek
shivering,shiver
extrapolates,extrapolate
lathed,lath
valuing,value
extending,extend
re-proven,re-prove
sewed,sew
running,run
undergirt,undergird
chauffeuring,chauffeur
rebated,rebate
overdraws,overdraw
quirts,quirt
smelt,smell
frilled,frill
overlapped,overlap
emulsifying,emulsify
aluminizes,aluminize
winds,wind
rappeled,rappel
misdealing,misdeal
slackening,slacken
insetted,inset
canvasses,canvass
hung,hang
hounds,hound
underachieves,underachieve
ground,grind
cleft,cleave
reproofed,reproof
disenabling,disenable
complying,comply
underlaid,underlay
interweaving,interweave
cuffed,cuff
stomped,stomp
stinging,sting
betted,bet
plumbing,plumb
surplusing,surplus
finds,find
hurting,hurt
rotted,rot
stunk,stink
wedded,wed
spills,spill
inters,inter
shove,shave
restricting,restrict
rotated,rotate
thrown,throw
delouses,delouse
declared,declare
mizzles,mizzle
sanctioning,sanction
disbars,disbar
speculated,speculate
hostaging,hostage
sawed,saw
bleeding,bleed
adjuring,adjure
disappointed,disappoint
complied,comply
remaking,remake
misbegotten,misbeget
feuding,feud
breeds,breed
funks,funk
interbreeding,interbreed
bloats,bloat
walked,walk
backdropped,backdrop
punished,punish
convokes,convoke
laying,lay
strengthened,strengthen
lied,lie
blessing,bless
reorientated,reorientate
underlying,underlie
moves,move
swindling,swindle
crept,creep
ingrafting,ingraft
paying,pay
perforated,perforate
wakes,wake
departmentalizes,departmentalize
exuding,exude
vitalizes,vitalize
upsetting,upset
slunk,slink
fronted,front
reexplained,reexplain
shows,show
explicated,explicate
comminuted,comminute
outspending,outspend
sat,sit
jolting,jolt
stung,sting
archiving,archive
bided,bide
pots,pot
unlearns,unlearn
mislaying,mislay
undercutting,undercut
driving,drive
forlain,forelie
rebuilding,rebuild
flouts,flout
left,leave
overseeing,oversee
colligated,colligate
ritualizes,ritualize
resigned,resign
shining,shine
withdraws,withdraw
proves,prove
grossed,gross
trends,trend
squashes,squash
donating,donate
spends,spend
bushelled,bushel
clothes,clothe
striving,strive
rephrasing,rephrase
morseled,morsel
adopts,adopt
coming,come
slid,slide
drinking,drink
foresaw,foresee
defaming,defame
clung,cling
honked,honk
bidding,bid
unyoking,unyoke
palpitates,palpitate
retaking,retake
blows,blow
wringing,wring
glees,glee
compelling,compel
vermilioning,vermilion
rethinks,rethink
overlaps,overlap
tenoned,tenon
sown,sow
accustoms,accustom
shits,shit
boomeranged,boomerang
writ,write
jested,jest
foretells,foretell
shown,show
bleeds,bleed
foreknew,foreknow
sunburns,sunburn
devitalized,devitalize
deals,deal
fed,feed
deflated,deflate
contrasted,contrast
are,be
immixes,immix
gave,give
glooms,gloom
gloomed,gloom
kraals,kraal
insulting,insult
paneling,panel
rewritten,rewrite
struck,strike
sank,sink
overgrew,overgrow
acidulates,acidulate
environs,environ
misjudging,misjudge
spending,spend
tickled,tickle
panics,panic
saying,say
oystering,oyster
evangelized,evangelize
deracinated,deracinate
brailling,braille
snuck,sneak
foretelling,foretell
aspersed,asperse
sunk,sink
underbidding,underbid
forgiving,forgive
coiffed,coiffe
overbred,overbreed
notated,notate
canned,can
exteriorizing,exteriorize
fell,fall
ordaining,ordain
derated,derate
buckles,buckle
marshalling,marshal
lies,lie
holding,hold
fruits,fruit
undergrown,undergrow
making,make
demobilized,demobilize
craunches,craunch
fundraised,fundraise
overdrunk,overdrink
diffracts,diffract
gussying,gussy
riding,ride
benome,benim
vermilions,vermilion
forlay,forelie
terrorized,terrorize
accumulated,accumulate
suspected,suspect
niches,niche
compromises,compromise
spake,speak
morselled,morsel
worthed,worth
forgoing,forgo
overdoes,overdo
overbore,overbear
foregrounding,foreground
tore,tear
raveling,ravel
emulsifies,emulsify
asperses,asperse
handwrites,handwrite
drove,drive
shuts,shut
embedded,embed
spurned,spurn
cropen,creep
shope,shape
wouldst,will
gusseted,gusset
lynched,lynch
assumed,assume
overlying,overlie
fractioned,fraction
retook,retake
prologizes,prologize
binds,bind
cockling,cockle
overdone,overdo
adopting,adopt
endangering,endanger
abnegated,abnegate
beseeches,beseech
wets,wet
potting,pot
emigrating,emigrate
slew,slay
gusseting,gusset
swollen,swell
encrimsons,encrimson
bespeaking,bespeak
wills,will
sees,see
becoming,become
idles,idle
misgave,misgive
smelling,smell
feeling,feel
slinging,sling
compressing,compress
shit,shite
miswrote,miswrite
strings,string
mistreated,mistreat
repaid,repay
outthought,outthink
benumb,benim
hobbing,hob
fueling,fuel
misusing,misuse
ceasing,cease
frostbiting,frostbite
overcame,overcome
swang,swing
reflexed,reflex
larking,lark
swings,swing
outgrows,outgrow
striven,strive
clocking,clock
brittled,brittle
extrapolating,extrapolate
cleaving,cleave
uplifts,uplift
bites,bite
bidden,bide
throws,throw
foregrounded,foreground
doth,do
mischose,mischoose
reran,rerun
overhears,overhear
pinwheels,pinwheel
oversells,oversell
approves,approve
elaborated,elaborate
slackened,slacken
done,do
catechizes,catechize
neatened,neaten
tabularises,tabularise
undershoots,undershoot
tabularising,tabularise
aspired,aspire
busheled,bushel
abnegates,abnegate
fled,flee
did,do
skied,ski
ravelling,ravel
nicks,nick
misshapes,misshape
spinning,spin
racketeering,racketeer
imposting,impost
overbooks,overbook
underfeeds,underfeed
idled,idle
shod,shoe
deludes,delude
outthrew,outthrow
cuts,cut
reexplains,reexplain
barricadoed,barricado
interweaves,interweave
cushioning,cushion
bespoke,bespeak
deflating,deflate
quieted,quiet
grinded,grind
dived,dive
letten,let
sewing,sew
grouped,group
overfeeds,overfeed
lading,lade
sneaked,sneak
went,wend
overslipped,overslip
suspects,suspect
illuminating,illuminate
kneels,kneel
pled,plead
microfilms,microfilm
sloping,slope
shitted,shit
misled,mislead
wended,wend
creaming,cream
jams,jam
overshone,overshine
upsold,upsell
lightered,lighter
yeasting,yeast
paltering,palter
cued,cue
mislaid,mislay
unbent,unbend
singing,sing
stained,stain
gargled,gargle
getting,get
cloven,cleave
underbids,underbid
forgotten,forget
prides,pride
sambas,samba
shields,shield
devitalizing,devitalize
craunched,craunch
odorized,odorize
begat,beget
uncaps,uncap
overdressing,overdress
retells,retell
idolizing,idolize
razes,raze
overtaken,overtake
morseling,morsel
tinkling,tinkle
beheld,behold
subordinating,subordinate
etched,etch
pardoned,pardon
ridden,ride
swindled,swindle
twinkling,twinkle
drunk,drink
complotting,complot
thinking,think
misspends,misspend
betting,bet
brays,bray
contradicting,contradict
radiotelephoned,radiotelephone
ran,run
imparted,impart
woke,wake
lightering,lighter
radiotelephoning,radiotelephone
overreaches,overreach
burning,burn
coiffes,coiffe
sweats,sweat
reshot,reshoot
ravaged,ravage
overstrode,overstride
