stem,word
interrupt,interrupted
cadg,cadged
overbal,overbalances
misgaug,misgauges
peroxid,peroxides
major,majors
bestir,bestirring
airt,airts
dislik,dislike
rook,rooks
gang,gangs
devot,devoted
packag,packaging
quash,quashes
recurv,recurve
space,spaced
anted,antedate
terror,terrorize
hilltop,hilltopping
truckl,truckling
float,floated
splurg,splurge
negat,negate
earn,earned
prime,primed
anticip,anticipate
escalop,escalops
exampl,examples
isol,isolates
meow,meowed
imbru,imbrued
outsourc,outsource
japan,japans
sulfat,sulfate
pose,poses
part,parts
dehorn,dehorns
command,commandeers
jacket,jackets
hurtl,hurtling
inveigl,inveigle
liken,likened
ripen,ripening
implor,implores
number,numbered
cannonad,cannonading
recus,recuses
thrum,thrums
census,censusing
emblazon,emblazons
rejudg,rejudged
cite,cites
pois,poises
stew,stews
speechifi,speechify
castrat,castrating
swagger,swaggered
flail,flails
loophol,loopholes
energis,energise
den,denned
coupl,coupling
girt,girted
assur,assure
deni,denies
induc,induce
brais,braises
keelhaul,keelhauled
bobsl,bobsled
stucco,stuccoed
belli,belly
creas,crease
bludgeon,bludgeoning
dizzi,dizzies
shuffl,shuffle
sublim,sublimate
tabernacl,tabernacling
solemnifi,solemnify
choruss,chorussing
coinsur,coinsures
ship,shipping
ammoni,ammoniates
brattic,brattice
tens,tensing
poultic,poulticed
tucker,tuckering
trepan,trepans
fright,frighted
picnic,picnics
climax,climaxes
rebel,rebelling
spank,spanks
chagrin,chagrinning
plagiaris,plagiarise
mongrel,mongrelize
mortic,morticed
chirk,chirked
alien,alienates
galvanis,galvanising
feder,federating
wolf,wolfing
soot,sooting
whicker,whickered
tru,truing
hoist,hoisting
aestiv,aestivates
pamphlet,pamphlets
defrock,defrocking
banish,banished
paddock,paddocked
divulg,divulging
wail,wails
meet,meets
chamois,chamoised
deconsecr,deconsecrate
encrust,encrusts
depress,depresses
disallow,disallowed
sandal,sandalling
outliv,outlives
chin,chins
trolli,trollied
stitch,stitching
instil,instils
restr,restring
fellow,fellowed
rearm,rearming
roadblock,roadblocks
disquiet,disquieting
jig,jigs
haggl,haggling
psalm,psalming
concav,concaves
stereotyp,stereotype
edulcor,edulcorated
predat,predated
marri,married
rectifi,rectifies
paddock,paddocks
compost,composts
travesti,travestied
page,paging
confabul,confabulated
reflect,reflected
excret,excrete
outreach,outreached
cavern,caverning
quarantin,quarantining
pedal,pedaling
season,seasoning
calcifi,calcified
cours,coursing
equal,equalizes
exclaim,exclaiming
playact,playacting
slick,slicks
crenel,crenellating
argufi,argufy
nauseat,nauseates
splatter,splattering
inspan,inspanning
superimpos,superimposed
shanti,shantied
grass,grasses
honcho,honchoed
bestow,bestowed
lioniz,lionize
actual,actualizes
canvas,canvases
nosh,noshing
homestead,homesteads
spoor,spooring
reneg,reneges
copi,copies
defam,defames
punt,punts
jitney,jitneying
woodshed,woodshedding
command,commandeer
rezon,rezone
elabor,elaborated
laurel,laureling
relish,relishes
joint,joints
hawk,hawking
giddi,giddies
slam,slamming
coax,coaxing
contract,contracts
savor,savors
emascul,emasculated
upend,upends
liken,likening
marbl,marbling
bankrol,bankrolling
bows,bowse
gimlet,gimleted
correct,corrects
interleav,interleave
listen,listens
lung,lunging
arraign,arraigned
peregrin,peregrinates
tighten,tightens
taxi,taxiing
document,documents
tussl,tussle
barn,barned
seced,secede
auscult,auscultates
coiffur,coiffure
drizzl,drizzling
keyboard,keyboards
caucuss,caucussing
pain,pained
swob,swobs
unhar,unharness
reactiv,reactivated
isl,isle
furbelow,furbelowing
drain,drains
servo,servoed
burp,burped
adapt,adapted
outpoint,outpointed
reconsign,reconsigning
fettl,fettling
rang,range
stress,stresses
compart,comparted
flat,flatting
convert,converting
blackguard,blackguarded
chagrin,chagrins
defec,defecate
alleg,alleging
smile,smiles
transud,transudes
exacerb,exacerbate
antiqu,antique
past,paste
accumul,accumulates
sector,sectoring
calendar,calendared
fress,fressed
entranc,entrancing
dither,dithered
trickl,trickling
specc,speccing
licens,licensing
pitch,pitching
misdiagnos,misdiagnoses
refil,refile
overstock,overstocking
special,specializing
decoct,decocting
barbaris,barbarises
doom,dooming
kipper,kippers
forc,forcing
roughcast,roughcasting
loath,loathing
gad,gads
sampl,samples
bitumin,bituminizes
eddi,eddies
propiti,propitiated
conge,congees
liquid,liquidizing
cudgel,cudgels
doubl,doubled
gyp,gypping
sulli,sullied
exasper,exasperated
ramp,ramps
conceit,conceits
solemn,solemnizes
procreat,procreating
remarri,remarry
narcot,narcotizes
dog,dogged
stevedor,stevedoring
gore,gored
fillip,fillips
desquam,desquamate
punish,punishing
swirl,swirled
hectograph,hectographed
wedg,wedge
backped,backpedaling
blip,blips
address,addressed
coop,cooped
merg,merges
resum,resumes
ostrac,ostracize
undrap,undrapes
ankylos,ankylose
recomm,recommences
defrost,defrosts
contact,contacting
sequenc,sequences
cup,cups
deem,deemed
bayonet,bayonetted
demolish,demolishing
twine,twining
incens,incensed
partit,partitioning
civil,civilizes
system,systemizing
outsourc,outsourcing
devoic,devoiced
amelior,ameliorate
confirm,confirming
litig,litigate
coagul,coagulates
rebound,rebounds
duplex,duplexes
scyth,scythe
sheath,sheathes
bestow,bestowing
devil,deviled
dous,douses
overcharg,overcharge
decim,decimates
mount,mounting
sail,sailed
deceler,decelerates
smooch,smooches
sunder,sunders
vent,venting
transit,transitioned
kibbitz,kibbitzes
reconsign,reconsigned
plash,plashed
fathom,fathomed
forfeit,forfeiting
gild,gilding
sharpen,sharpening
enraptur,enraptured
crimin,criminalizes
instrument,instruments
skylin,skylining
fun,funning
resin,resinated
manipul,manipulates
glower,glowers
station,stationed
calcin,calcines
antick,anticked
tog,togged
vagabond,vagabonds
distribut,distributed
compens,compensated
boldfac,boldface
parti,partied
glace,glaceing
teeth,teethe
straggl,straggle
flat,flatted
spiel,spieled
sabotag,sabotage
rubber,rubbering
threaten,threatened
queu,queuing
transfix,transfixes
bridg,bridge
convuls,convulse
rein,reins
upright,uprighted
effus,effusing
neuter,neuters
culmin,culminate
gambol,gamboled
moulder,mouldering
precess,precessing
perus,perused
kit,kits
infuri,infuriate
block,blocks
autoclav,autoclaved
neigh,neighs
resuppli,resupplies
frivol,frivoled
blossom,blossoming
inbre,inbreeds
eulogis,eulogises
quicken,quickening
solac,solaces
pump,pumping
dropforg,dropforge
chivi,chivied
decapit,decapitating
mad,mads
stigmat,stigmatizing
elicit,elicits
misspok,misspoke
metric,metricizing
arc,arcs
medal,medaled
gourmand,gourmandizes
clangor,clangors
clu,clued
handwrit,handwrites
choruss,chorussed
ledg,ledges
huff,huffs
luxuri,luxuriating
page,paged
discipl,discipling
grandstand,grandstands
wassail,wassailed
trifl,trifles
horn,horns
produc,producing
fish,fishing
fertil,fertilizes
throb,throbbing
bias,biasing
burgl,burgling
champ,champs
dent,denting
manoeuvr,manoeuvres
defi,defied
domin,dominate
undul,undulate
superscrib,superscribe
gang,ganged
subdu,subdues
romanc,romancing
bubbl,bubble
dri,dry
prize,prized
fulfil,fulfills
attenu,attenuating
immur,immured
swan,swans
tabul,tabulate
subtot,subtotal
edit,edited
scollop,scollops
discompos,discompose
preclud,preclude
modifi,modifying
outguess,outguessing
discas,discased
semaphor,semaphored
dower,dowers
antiqu,antiquing
forspok,forspoke
bespok,bespoke
overshin,overshine
stead,steads
narrat,narrate
buccan,buccaneers
foregath,foregather
basifi,basify
stonewal,stonewalled
rang,ranged
lantern,lanterns
parol,paroling
nab,nabs
lobotom,lobotomize
chariot,charioting
stud,studs
daub,daubing
inocul,inoculate
prevent,prevented
reput,reputed
harken,harkening
pretest,pretesting
predestin,predestines
gladden,gladdened
overf,overfed
reappli,reapplied
flaunt,flaunts
signpost,signposted
amend,amended
blockad,blockades
jetti,jetties
saliv,salivates
sequest,sequesters
thread,threaded
dehisc,dehisced
regrad,regrading
desegreg,desegregated
spectat,spectates
deplan,deplane
switch,switches
encrypt,encrypted
snuggl,snuggle
parol,paroles
trim,trims
plummet,plummeting
aggress,aggressing
syncop,syncopates
categor,categorize
amplifi,amplify
near,neared
pi,piing
reinocul,reinoculated
deoxid,deoxidized
lexic,lexicalize
stage,staged
cavil,cavilled
umber,umbering
bullyrag,bullyrags
dissolv,dissolve
displac,displaced
panhandl,panhandle
outmod,outmodes
floor,flooring
hymn,hymned
ting,tinged
delug,deluged
purvey,purveys
specul,speculate
cranch,cranching
reimpos,reimposes
concuss,concusses
relearn,relearning
perus,perusing
reform,reformed
gopher,gophers
mimeo,mimeoed
backspac,backspace
scroll,scrolling
stake,staked
neuter,neutering
stir,stirring
rust,rusting
sublim,sublimates
taunt,taunted
compass,compassed
echelon,echeloning
facet,faceting
tot,totted
scrape,scrapes
misrepres,misrepresent
perm,perms
cloud,clouded
radic,radicalize
fricasse,fricasseed
relent,relenting
modifi,modified
reshap,reshaping
trelli,trellis
fellat,fellate
gaze,gazing
burgl,burgles
diagnos,diagnosing
squish,squished
bleat,bleating
individu,individuate
rafter,raftered
debas,debased
remuner,remunerates
gaze,gazes
vener,venerated
ferul,feruled
backped,backpedaled
reoccur,reoccurred
prevu,prevues
clump,clumps
rootl,rootling
loath,loathed
feign,feigns
augur,auguring
thresh,threshing
tare,tared
glimps,glimpse
euchr,euchre
consign,consigned
kibosh,kiboshing
reprov,reproved
vomit,vomited
cosset,cosseted
rout,routed
encod,encodes
besieg,besieged
culmin,culminated
flake,flaking
vener,venerating
ramp,ramping
monopol,monopolized
chisel,chiseled
bill,billing
negoti,negotiate
furnac,furnaced
round,rounding
indors,indorsed
shroud,shrouded
bevel,bevelled
diverg,diverges
spool,spooled
veer,veers
arterialis,arterialise
guess,guesses
bluf,bluffing
reus,reused
pair,pairs
perspir,perspire
machin,machinates
forklift,forklifts
underst,understated
feder,federalizing
burbl,burbled
mast,masts
remeasur,remeasuring
trampl,trample
vouch,vouched
er,erred
bell,belled
warn,warned
ensnar,ensnare
upscal,upscaled
poleax,poleaxed
leer,leered
pluck,plucks
curv,curving
bivouac,bivouacs
retreat,retreating
clop,clopping
return,returns
balanc,balances
interdict,interdicting
weather,weatherizing
excori,excoriates
reengag,reengage
dilapid,dilapidating
canon,canonizing
clash,clashed
enounc,enounced
formular,formularizes
emblem,embleming
rever,reveres
gain,gains
reprogram,reprograms
autom,automated
mask,masks
weav,weaves
jimmi,jimmied
plunder,plunders
seeth,seethe
localis,localise
diss,dissing
cuddl,cuddled
fizzl,fizzles
precaut,precaution
disband,disbands
inculc,inculcate
reorder,reorders
backdat,backdated
calcul,calculating
dissip,dissipates
merit,merits
offset,offsets
wrick,wricking
rape,raped
elabor,elaborate
moot,moots
social,socializes
outpoint,outpoints
sonnet,sonnetting
wipe,wipes
arbitrag,arbitrages
cowl,cowls
retard,retarded
garrot,garrote
ball,balls
riddl,riddle
rim,rimmed
judder,juddering
appeal,appealed
mitr,mitre
titrat,titrates
breach,breaches
nasal,nasalizes
tender,tenderized
sauc,saucing
overcook,overcooks
amend,amends
flint,flinting
blackmail,blackmailing
sector,sectors
freckl,freckling
objectifi,objectify
transact,transacts
outfac,outfaces
apolog,apologizing
hump,humps
overwint,overwintered
reevalu,reevaluating
reinstal,reinstalls
rechart,rechartering
coapt,coapts
knuckl,knuckling
plump,plumps
jewel,jeweling
grit,grits
portend,portended
incommod,incommode
birdi,birdied
notifi,notify
maunder,maundering
telegraph,telegraphed
slam,slammed
pedest,pedestaling
wallop,walloping
nuke,nukes
unbraid,unbraided
stargaz,stargazed
blue,blues
gyrat,gyrate
carton,cartons
cycl,cycled
wave,waves
inspan,inspanned
dishevel,dishevelled
dither,dithering
rebuf,rebuffing
reseat,reseated
regiment,regiments
relabel,relabelling
bracket,brackets
amort,amortizing
pug,pugs
disparag,disparaging
priest,priests
espali,espaliers
occlud,occluded
retri,retry
cadenc,cadenced
emit,emitting
yodel,yodelling
crusad,crusading
pain,paining
trebl,trebled
confirm,confirms
furnac,furnacing
cork,corked
vitamin,vitaminized
waltz,waltzes
style,styled
wit,witting
embow,embowered
caseharden,casehardens
escort,escorting
tapdanc,tapdances
impanel,impanels
educ,educated
acquiesc,acquiesced
vowel,vowels
battledor,battledore
pierc,piercing
skedaddl,skedaddled
hanker,hankers
squir,squiring
tax,taxed
loop,loops
buckler,bucklers
enlist,enlists
repel,repelling
ambush,ambushes
jilt,jilted
decolon,decolonizes
recreat,recreate
soak,soaking
vintag,vintage
forward,forwarding
bastinado,bastinadoing
monkey,monkeys
anglic,anglicizing
reson,resonating
flutter,fluttering
plural,pluralized
fowl,fowling
cumber,cumbered
disentangl,disentangles
slipper,slippering
diffus,diffused
peror,perorates
associ,associates
coalesc,coalesces
soak,soaks
progress,progressed
misguid,misguides
quot,quote
save,saving
ticktack,ticktacking
ear,ears
diet,diets
saunter,saunters
ador,adored
pulp,pulping
fatigu,fatigued
skip,skipped
pickax,pickaxes
annul,annuls
poll,polls
gussi,gussy
congeal,congealed
reclassifi,reclassified
rain,rains
cinch,cinches
manduc,manducates
toadi,toady
amnesti,amnesty
renorm,renormalize
disclos,disclosing
revamp,revamping
frown,frowns
inaugur,inaugurating
abdic,abdicated
lipstick,lipsticks
enrich,enriched
hollo,holloing
blueprint,blueprinting
glad,gladded
lamb,lambing
cultiv,cultivated
biass,biasses
epil,epilate
sob,sobbed
tumbl,tumbled
effectu,effectuated
bir,birred
mummi,mummying
extern,externalize
twitch,twitched
swing,swinged
vener,venerates
reattribut,reattributes
fuze,fuzes
case,cased
defer,deferred
bugger,buggers
execut,execute
mothproof,mothproofs
unmask,unmasks
toss,tossing
victual,victualled
scent,scenting
typewrit,typewrite
coax,coaxes
chart,charting
amnesti,amnestied
reckon,reckoned
unhar,unharnesses
letter,lettering
oper,operates
guy,guyed
deposit,depositing
legitim,legitimated
hibern,hibernates
plough,ploughed
aspir,aspiring
fag,fags
outlaw,outlaws
flannel,flanneled
warn,warning
ceas,ceased
sampl,sample
megaphon,megaphones
leaflet,leaflets
trace,traced
pickax,pickaxe
versifi,versify
chirrup,chirrups
mold,molded
dong,dongs
deflow,deflower
reel,reeling
fashion,fashioned
ambit,ambitioned
enumer,enumerating
secular,secularizing
appris,apprising
rebind,rebinds
bulk,bulked
uprear,upreared
continu,continues
encapsul,encapsulate
reinsur,reinsure
fester,festers
crosshatch,crosshatched
admeasur,admeasured
brazen,brazens
drizzl,drizzles
bob,bobs
burp,burping
tablet,tabletted
intox,intoxicates
redistrict,redistricts
fulfil,fulfilling
king,kings
packag,package
domin,dominating
bib,bibbed
linger,lingered
advoc,advocated
inform,informing
rew,reweds
supplic,supplicate
person,personalized
trounc,trounces
remodel,remodeling
froth,frothing
deni,denying
chican,chicane
precaut,precautions
tranc,trancing
restor,restored
scyth,scythed
demonet,demonetizes
diaper,diapered
differenc,differencing
outscor,outscoring
mound,mounded
shanghai,shanghaied
pain,pains
flurri,flurrying
whimper,whimpers
tabular,tabularized
trench,trenched
aerat,aerated
invoic,invoice
occur,occurring
demonstr,demonstrated
god,godding
pule,puling
support,supporting
barrel,barrelled
urin,urinated
ant,anted
maintain,maintains
syllab,syllabicates
direct,directs
molest,molested
skitter,skittering
objectifi,objectified
molt,molted
encod,encoding
massag,massaged
theoris,theorising
upscal,upscale
chondrifi,chondrifies
tut,tutted
reascend,reascending
remount,remounted
emancip,emancipating
outflank,outflanking
caravan,caravanning
prim,primming
censor,censored
medit,meditating
sharp,sharps
metal,metaling
undercoat,undercoats
mismarri,mismarried
willow,willowed
translat,translate
protest,protesting
infect,infecting
distil,distills
monograph,monographed
lustr,lustre
bemock,bemocks
burglar,burglarized
frizzl,frizzle
fundrais,fundraising
stet,stets
open,opening
wrong,wronging
refil,refilled
hovel,hoveling
deput,deputed
woolgath,woolgathered
vocal,vocalize
gear,gearing
rough,roughs
untwist,untwisting
deton,detonated
upsel,upsell
formular,formularize
comment,commentate
follow,followed
exud,exudes
rhumba,rhumbas
dissembl,dissembled
confeder,confederates
plagiaris,plagiarising
craven,cravening
collect,collects
symmetr,symmetrizing
gyve,gyving
etiol,etiolating
constru,construe
babi,babying
victual,victualing
sepulchr,sepulchred
materi,materializes
facilit,facilitating
miter,miters
glorifi,glorified
associ,associate
uprear,uprearing
recolon,recolonized
ash,ashed
leaden,leadened
band,banding
overboil,overboiled
rumin,ruminating
miscal,miscall
intern,interns
crippl,cripple
bloom,blooms
fratern,fraternize
regrad,regrade
overpow,overpowering
enrag,enrages
alleg,allege
schmooz,schmoozes
overplay,overplays
blarney,blarneying
ghetto,ghettoing
summer,summered
averag,average
disagre,disagree
boat,boating
jimmi,jimmying
cuddl,cuddling
twill,twills
react,reacted
pout,pouting
mascara,mascaras
steril,sterilize
badger,badgering
stave,staves
splurg,splurging
apostroph,apostrophize
shmooz,shmoozes
spout,spouting
vitrifi,vitrify
mock,mocks
exploit,exploited
outfac,outface
law,lawing
up,upping
unfix,unfixed
summat,summates
entic,enticing
bepaint,bepainting
mask,masked
overthrow,overthrows
misreport,misreporting
rampag,rampaging
burthen,burthening
evacu,evacuating
coal,coaled
jacket,jacketing
knead,kneads
hallo,hallos
misgovern,misgoverned
pamper,pampers
repriev,reprieves
pile,piling
deput,deputized
blabber,blabbering
retrofir,retrofiring
exhort,exhorting
initi,initialize
stockad,stockades
elop,elope
sulphur,sulphurs
democrat,democratize
hatch,hatched
reverenc,reverencing
enthral,enthrall
climb,climbed
misfil,misfiling
fatigu,fatigues
becom,becoming
rollick,rollicks
prefer,preferring
liquid,liquidating
strangl,strangles
dialogu,dialogue
rehab,rehabs
turtl,turtling
endeavour,endeavours
anatomis,anatomises
encourag,encouraged
coiffur,coiffuring
corset,corsets
backwash,backwashed
avert,averting
whirl,whirls
imping,impinging
embodi,embody
sidetrack,sidetracked
sediment,sedimented
hiccup,hiccupped
spangl,spangle
repair,repaired
dethron,dethroned
pend,pends
aerosol,aerosolize
cover,covered
fireproof,fireproofs
inhabit,inhabiting
violat,violates
bung,bungs
recant,recanting
nix,nixed
hump,humping
restudi,restudied
ferrul,ferrules
retak,retakes
candl,candles
reequip,reequips
deviat,deviates
tip,tips
scuttl,scuttles
bethink,bethinking
reconstruct,reconstructs
quench,quenching
contraven,contravening
grant,granted
ticket,tickets
hark,harked
ioniz,ionize
confisc,confiscate
copyedit,copyedited
lasso,lassoes
tango,tangos
equal,equals
impal,impaled
superscrib,superscribed
spade,spades
joist,joisted
curdl,curdled
coke,coking
vapour,vapoured
fuddl,fuddling
rebind,rebinding
marbl,marble
stoog,stooged
overflow,overflowed
deescal,deescalates
brais,braised
evict,evicted
desist,desists
interrupt,interrupts
complet,complete
embrac,embraces
polem,polemizes
displeasur,displeasure
beacon,beaconed
reawaken,reawakened
packag,packaged
snag,snagged
kayak,kayaked
javelin,javelins
fragment,fragmented
physic,physics
bedaub,bedaubing
portend,portends
misrul,misruling
unliv,unlived
overlord,overlorded
transpos,transposing
saponifi,saponifying
diddl,diddled
ejacul,ejaculate
hum,hums
frazzl,frazzles
housebreak,housebreaks
oar,oaring
vent,vented
redeem,redeeming
nullifi,nullifying
maim,maiming
uncov,uncovered
bask,basking
suppos,supposed
grovel,groveled
eventu,eventuating
ensconc,ensconcing
tom,tomming
imperil,imperiled
syllabl,syllables
stickl,stickling
rat,ratting
vaccin,vaccinates
classifi,classifies
bevel,bevels
interioris,interiorised
deposit,deposits
oscil,oscillate
alchem,alchemized
turpentin,turpentine
short,shorted
stiletto,stilettoes
limb,limbing
gatecrash,gatecrashes
trickl,trickled
fragment,fragmentize
wallow,wallows
shammi,shammying
abid,abiding
ooz,oozes
vulgar,vulgarizes
maul,mauls
outrid,outriding
innerv,innervate
overplay,overplaying
embank,embanking
vestibul,vestibules
weasel,weaselling
wreath,wreathed
gruntl,gruntled
enrich,enriches
disburden,disburdening
cook,cooking
cube,cubing
retrogress,retrogresses
stress,stressing
test,testing
experi,experiment
fray,fraying
under,underlies
distrust,distrusts
roach,roaches
fail,fails
catalogu,catalogue
cod,cods
birdi,birdieing
adz,adzed
terrifi,terrify
titl,title
tenant,tenants
conced,concede
channel,channelling
medal,medals
poke,poking
freebas,freebased
proscrib,proscribing
redial,redialing
mingl,mingle
surmis,surmised
inject,injected
presort,presorts
shuck,shucking
trim,trimming
bowel,bowels
betoken,betokening
tempor,temporize
suicid,suicide
mask,masking
tarri,tarry
bamboozl,bamboozle
mimick,mimicked
lobbi,lobbied
habilit,habilitates
disorient,disorientate
inveigl,inveigling
chow,chows
salsa,salsas
waddl,waddles
remix,remixing
tax,taxing
humidifi,humidifies
debark,debarks
besprinkl,besprinkle
barg,barged
luf,luffed
ensur,ensures
slurri,slurry
present,presenting
dramat,dramatize
practic,practicing
repeal,repeals
site,sites
interlock,interlocks
skipper,skippered
silk,silking
vacuum,vacuumed
hord,horde
mystifi,mystify
ret,rets
calcimin,calcimining
part,parted
thrombos,thromboses
monitor,monitored
twitter,twittered
nasalis,nasalises
husband,husbanded
deprogram,deprogrammed
paraphras,paraphrased
exult,exulted
displeas,displeasing
saut,saute
mace,macing
dock,docked
awak,awaking
jut,jutting
whack,whacks
dog,dogs
outvot,outvoted
amass,amassed
deliv,delivering
reappear,reappears
autom,automates
segreg,segregated
pounc,pounced
punt,punting
curdl,curdling
plagiaris,plagiarises
benchmark,benchmarking
conserv,conserve
solemn,solemnized
scarp,scarping
copper,coppering
fudg,fudged
exalt,exalted
map,mapping
replenish,replenishing
pollin,pollinated
game,gaming
consid,consider
triangul,triangulated
interrupt,interrupting
rif,riffing
euphem,euphemize
swelter,sweltered
encourag,encourages
sandal,sandaling
tissu,tissued
vitalis,vitalises
seek,seeks
rebuk,rebuked
detest,detests
vacil,vacillates
misgaug,misgauging
congreg,congregated
thread,threading
conscript,conscripts
vault,vaults
valuat,valuating
forgon,forgone
dwindl,dwindle
releg,relegates
consult,consulted
photo,photos
hash,hashed
rigidifi,rigidifying
tightrop,tightropes
innov,innovates
stifl,stifled
encor,encores
colour,colouring
bacter,bacterizing
joust,jousting
reforest,reforests
liquid,liquidizes
crossruf,crossruffed
arrang,arrange
effect,effects
invigil,invigilate
grin,grins
complic,complicating
architect,architected
tent,tents
chammi,chammy
vaccin,vaccinating
imag,imaging
estrang,estranging
mediat,mediated
brainstorm,brainstormed
recharg,recharged
insur,insured
braid,braiding
approxim,approximate
reconven,reconvened
enthral,enthralled
compound,compounding
dalli,dally
gabbl,gabbles
decis,decisioned
salv,salve
flock,flocks
shotgun,shotgunned
piddl,piddling
humili,humiliated
distend,distending
silhouett,silhouette
subtot,subtotals
misdiagnos,misdiagnosed
unsaddl,unsaddles
acquir,acquired
