conjugated,infinitive
overstridden,overstride
shakes,shake
noticed,notice
brittles,brittle
swimming,swim
reformulated,reformulate
spilt,spill
strung,string
shrank,shrink
sweated,sweat
skied,ski
larking,lark
grew,grow
cranked,crank
underhewn,underhew
finding,find
forlay,forelie
imparts,impart
straining,strain
became,become
moving,move
kidded,kid
bursted,burst
misgives,misgive
disenabled,disenable
hung,hang
vinifying,vinify
emigrating,emigrate
niched,niche
wins,win
overlapped,overlap
tickling,tickle
overreaching,overreach
wafers,wafer
outswore,outswear
falls,fall
birching,birch
manacled,manacle
cleft,cleave
panelling,panel
depicts,depict
crosscutting,crosscut
misspelled,misspell
did,do
smelt,smell
ravages,ravage
laded,lade
compresses,compress
swore,swear
feeding,feed
horselaughed,horselaugh
begun,begin
shoed,shoe
forspoken,forspeak
tabularising,tabularise
busheling,bushel
redying,redye
binding,bind
acidulating,acidulate
clothes,clothe
elaborates,elaborate
forswears,forswear
sook,sake
enshrouding,enshroud
reformulates,reformulate
flew,fly
remaking,remake
undressing,undress
glees,glee
lynched,lynch
felt,feel
redrawn,redraw
strengthens,strengthen
prescribes,prescribe
overeating,overeat
driven,drive
flees,flee
sank,sink
readjusting,readjust
coveted,covet
adzing,adze
discards,discard
misleading,mislead
besaw,besee
countersunk,countersink
narking,nark
immigrates,immigrate
underwriting,underwrite
rends,rend
striking,strike
contrasted,contrast
rewriting,rewrite
grinds,grind
funking,funk
irrupting,irrupt
sneaking,sneak
obtrudes,obtrude
strains,strain
redrawing,redraw
boomeranging,boomerang
presets,preset
outsung,outsing
repays,repay
cockles,cockle
axed,ax
forlaft,forleave
woken,wake
giving,give
incited,incite
masqueraded,masquerade
devitalized,devitalize
nauseates,nauseate
demobs,demob
delousing,delouse
chording,chord
squashes,squash
herding,herd
driving,drive
bolstering,bolster
disgracing,disgrace
idolizing,idolize
brakes,brake
slitting,slit
dappling,dapple
spores,spore
hobbing,hob
bushwhacking,bushwhack
misgotten,misget
wetting,wet
landscapes,landscape
perforates,perforate
anticking,antic
despairing,despair
buncos,bunco
craunched,craunch
underwrites,underwrite
hiccoughing,hiccough
picturing,picture
chauffeuring,chauffeur
coiffed,coiffe
reads,read
exterminated,exterminate
barricadoing,barricado
liquors,liquor
barfs,barf
screaming,scream
feeling,feel
awoken,awake
deputised,deputise
swolten,swelt
benam,benim
overhears,overhear
thorning,thorn
gusseted,gusset
gargling,gargle
spelled,spell
delouses,delouse
sewing,sew
disappointed,disappoint
caulks,caulk
digging,dig
dissembling,dissemble
dragged,drag
restricted,restrict
journals,journal
ragging,rag
wafered,wafer
militating,militate
miscasting,miscast
forbidden,forbid
lallygags,lallygag
busts,bust
forleft,forleave
waked,wake
couth,can
misusing,misuse
chords,chord
cockled,cockle
creeps,creep
convokes,convoke
waxing,wax
fell,fall
bickers,bicker
flied,fly
overworks,overwork
overlain,overlie
parallelling,parallel
blessed,bless
cropen,creep
spins,spin
trafficking,traffic
behaved,behave
unyoked,unyoke
leaning,lean
headquarters,headquarter
toyed,toy
overlay,overlie
catechized,catechize
encrimsons,encrimson
reissued,reissue
inbred,inbreed
saw,see
landed,land
stripped,strip
inviting,invite
larked,lark
overhangs,overhang
misused,misuse
slipping,slip
leads,lead
dreams,dream
hews,hew
overshot,overshoot
overdressed,overdress
throve,thrive
spurned,spurn
divagated,divagate
retreaded,retread
crept,creep
regularised,regularise
gleeing,glee
misshapes,misshape
shore,shear
overeats,overeat
brittling,brittle
journalled,journal
toenails,toenail
burnishes,burnish
splitting,split
stains,stain
overwrought,overwork
swinging,swing
ringed,ring
notating,notate
drives,drive
etches,etch
insets,inset
spills,spill
payed,pay
idles,idle
defecates,defecate
born,bear
reissues,reissue
militates,militate
palpitated,palpitate
falling,fall
simulcasted,simulcast
caulked,caulk
croqueting,croquet
riven,rive
wore,wear
larks,lark
thrusted,thrust
absolved,absolve
forgiven,forgive
waylays,waylay
withsaid,withsay
undergrew,undergrow
seen,see
overgrew,overgrow
overdrives,overdrive
itemed,item
finds,find
craunching,craunch
delimiting,delimit
ground,grind
freezes,freeze
reruns,rerun
impelled,impel
graving,grave
benumb,benim
rephrases,rephrase
luxuriates,luxuriate
overseen,oversee
drawn,draw
forspoke,forspeak
quethe,queath
hounds,hound
gargled,gargle
hurts,hurt
encroaching,encroach
compromising,compromise
comprised,comprise
spun,spin
dwelling,dwell
undergoing,undergo
steals,steal
acidulated,acidulate
slidden,slide
underhung,underhang
emigrates,emigrate
bids,bid
partakes,partake
rings,ring
slimed,slime
overpaying,overpay
environs,environ
frostbit,frostbite
cashiered,cashier
groups,group
archiving,archive
spreading,spread
nimmed,nim
refocuses,refocus
feuding,feud
overspilling,overspill
wobbles,wobble
asperses,asperse
restricting,restrict
forbearing,forbear
gussets,gusset
undressed,undress
overturns,overturn
stands,stand
kneels,kneel
nam,nim
broadcasts,broadcast
braking,brake
frilled,frill
didst,do
partaken,partake
nauseated,nauseate
swung,swing
learned,learn
mistreating,mistreat
handed,hand
rives,rive
outsells,outsell
terrorizing,terrorize
rethinking,rethink
notices,notice
awaking,awake
splits,split
contradicted,contradict
boldfaces,boldface
abraded,abrade
complotted,complot
outlined,outline
underwritten,underwrite
oversupplies,oversupply
wept,weep
encapsulates,encapsulate
compelled,compel
lidded,lid
shoots,shoot
jested,jest
glossing,gloss
mizzled,mizzle
meeting,meet
forlain,forelie
bled,bleed
bleeding,bleed
ravelling,ravel
undersigning,undersign
remunerating,remunerate
proverbing,proverb
bounden,bind
spends,spend
reflexed,reflex
lighting,light
rots,rot
booed,boo
canned,can
burning,burn
phoned,phone
paltered,palter
credited,credit
vext,vex
brittled,brittle
clove,cleave
sloping,slope
bemiring,bemire
shriven,shrive
arisen,arise
spellbinds,spellbind
underfeeds,underfeed
mistaken,mistake
vermilions,vermilion
browbeats,browbeat
apportions,apportion
tickles,tickle
beaches,beach
antedates,antedate
vitiated,vitiate
withholding,withhold
forwent,forgo
cushioning,cushion
laying,lay
wawls,wawl
stealing,steal
strips,strip
foreknows,foreknow
lights,light
lifeguards,lifeguard
wooing,woo
clicks,click
flung,fling
misreading,misread
sloped,slope
derates,derate
slitten,slit
hanging,hang
overbidding,overbid
garnished,garnish
oversees,oversee
taking,take
gussied,gussy
acceded,accede
adjuring,adjure
wrote,write
gotten,get
outstayed,outstay
catnapped,catnap
swelling,swell
lays,lay
striven,strive
brailling,braille
interleaved,interleave
invites,invite
irrupted,irrupt
idolized,idolize
misspelt,misspell
polymerizes,polymerize
eaten,eat
racketeered,racketeer
overwriting,overwrite
nicks,nick
partaking,partake
decalled,decal
embeds,embed
bore,bear
bogied,bogie
wouldst,will
valued,value
gooses,goose
misdealt,misdeal
digged,dig
grinding,grind
reading,read
deloused,delouse
pistolling,pistol
hewn,hew
misspeaks,misspeak
cushions,cushion
spelling,spell
casts,cast
shitten,shite
yeasted,yeast
siloing,silo
torn,tear
forsaid,forsay
sockets,socket
gives,give
unreeling,unreel
springs,spring
fuses,fuse
overrides,override
overlaps,overlap
misjudged,misjudge
misgiven,misgive
petrols,petrol
alit,alight
reaffirming,reaffirm
snuck,sneak
gasconaded,gasconade
interwove,interweave
builded,build
lallygagging,lallygag
retaken,retake
disjoining,disjoin
thrived,thrive
keeping,keep
mishears,mishear
stridden,stride
garnishing,garnish
aspersed,asperse
thrown,throw
zinced,zinc
refereeing,referee
countersank,countersink
elaborated,elaborate
forswearing,forswear
slid,slide
bursten,burst
has,have
naysaid,naysay
belabours,belabour
insulting,insult
busting,bust
officiates,officiate
drizzling,drizzle
lifeguarded,lifeguard
disappoints,disappoint
susurrates,susurrate
defamed,defame
dreamed,dream
countersinks,countersink
rumpled,rumple
oversewn,oversew
shaping,shape
slackens,slacken
undone,undo
slumps,slump
canvassing,canvass
shedding,shed
kraals,kraal
overbent,overbend
brainwashed,brainwash
blenching,blench
disjoined,disjoin
credits,credit
panelled,panel
disesteems,disesteem
laid,lay
cascading,cascade
breeds,breed
shat,shite
paneling,panel
overrunning,overrun
descrying,descry
rotted,rot
upsets,upset
overran,overrun
bit,bite
forelaid,forelay
overshook,overshake
sung,sing
spake,speak
handwrote,handwrite
gainsaid,gainsay
misreads,misread
beginning,begin
accustomed,accustom
encrimsoned,encrimson
leant,lean
despised,despise
retelling,retell
items,item
foregoing,forego
unyokes,unyoke
unwound,unwind
scrammed,scram
undercuts,undercut
sings,sing
fosters,foster
mistaking,mistake
cascaded,cascade
slips,slip
resettling,resettle
emceed,emcee
gusseting,gusset
chosen,choose
swang,swing
winds,wind
misbecame,misbecome
grows,grow
swindled,swindle
outspent,outspend
uncapped,uncap
strewed,strew
underpinned,underpin
unlearned,unlearn
mishearing,mishear
referees,referee
unyoking,unyoke
bides,bide
misspeaking,misspeak
tinseled,tinsel
kneeled,kneel
cockling,cockle
frostbiting,frostbite
overtook,overtake
outgrown,outgrow
booing,boo
miscasts,miscast
transformed,transform
elevating,elevate
durst,dare
exceeding,exceed
tiers,tier
overborn,overbear
hadst,have
shook,shake
beseeching,beseech
strikes,strike
chastises,chastise
reprinted,reprint
shined,shine
strewn,strew
detailed,detail
lades,lade
recompensed,recompense
surtaxed,surtax
weds,wed
bode,bide
zincks,zinc
heard,hear
outthrown,outthrow
ate,eat
renovates,renovate
prides,pride
approving,approve
overflying,overfly
misspelling,misspell
deflated,deflate
refurnished,refurnish
proves,prove
strides,stride
shields,shield
longed,long
retold,retell
befuddles,befuddle
fixing,fix
sprang,spring
slobbering,slobber
simulcasting,simulcast
tinkling,tinkle
knelt,kneel
parallelled,parallel
officiating,officiate
regularises,regularise
cinematized,cinematize
lazying,lazy
blest,bless
decaling,decal
officiated,officiate
bursts,burst
brainwashing,brainwash
costs,cost
lidding,lid
fractioning,fraction
withholden,withhold
smitten,smite
dissembles,dissemble
strode,stride
argues,argue
leaves,leave
excursioned,excursion
paupers,pauper
bends,bend
incarnating,incarnate
overworked,overwork
candying,candy
lay,lie
befuddled,befuddle
shaves,shave
hostages,hostage
mowed,mow
pinwheeling,pinwheel
spinning,spin
undrest,undress
rides,ride
spells,spell
sprains,sprain
blesses,bless
tells,tell
overdrest,overdress
fused,fuse
outgrew,outgrow
analyses,analyse
misdeals,misdeal
waylaying,waylay
rewound,rewind
misuses,misuse
mousetrapped,mousetrap
rung,ring
ordaining,ordain
stampeding,stampede
came,come
outshone,outshine
creaming,cream
blown,blow
margined,margin
said,say
cranking,crank
shines,shine
underpins,underpin
resold,resell
weeping,weep
bidden,bide
shears,shear
lopen,leap
overshined,overshine
begetting,beget
gaits,gait
preys,prey
horselaughs,horselaugh
drove,drive
found,find
ponded,pond
outthought,outthink
shoes,shoe
hackneyed,hackney
overhanging,overhang
oversold,oversell
talked,talk
obtruding,obtrude
creeping,creep
polymerized,polymerize
undertaken,undertake
froze,freeze
nictitates,nictitate
rumbles,rumble
snaps,snap
trended,trend
hounded,hound
winning,win
derated,derate
speeds,speed
paupering,pauper
uplifted,uplift
complotting,complot
vitalized,vitalize
bogies,bogie
imparted,impart
underborne,underbear
blackballs,blackball
remunerates,remunerate
vermilioned,vermilion
woke,wake
spoke,speak
sinking,sink
sprained,sprain
bided,bide
demobbed,demob
forgoes,forgo
odorizes,odorize
koshering,kosher
gleed,glee
overdrunk,overdrink
forgoing,forgo
disesteemed,disesteem
plumbing,plumb
quieted,quiet
bushelled,bushel
bushwhacked,bushwhack
operated,operate
streaked,streak
swolt,swelt
overshaken,overshake
staid,stay
understands,understand
dealing,deal
perforating,perforate
interweaves,interweave
misbegotten,misbeget
panics,panic
spoken,speak
trends,trend
forbears,forbear
brandishing,brandish
retreading,retread
cannibalizes,cannibalize
shopping,shop
transforms,transform
catechizes,catechize
approved,approve
browses,browse
breading,bread
overwritten,overwrite
preachifies,preachify
arterialized,arterialize
kenned,ken
roving,rove
smites,smite
behaving,behave
spitting,spit
underlaying,underlay
toenailed,toenail
wreaked,wreak
lightering,lighter
neatens,neaten
drest,dress
triangulates,triangulate
brining,brine
wrang,wring
sweeps,sweep
means,mean
adjures,adjure
fighting,fight
takes,take
weaves,weave
overlays,overlay
clapping,clap
subordinates,subordinate
trammelled,trammel
coiffing,coiffe
reflexing,reflex
inlaid,inlay
bitten,bite
ingrafting,ingraft
foregrounds,foreground
overbears,overbear
woven,weave
forbids,forbid
pleads,plead
underlay,underlie
exacerbating,exacerbate
bereft,bereave
sainted,saint
waylaid,waylay
costing,cost
took,take
coping,cope
fraternizing,fraternize
beseeches,beseech
overloaded,overload
mistook,mistake
comprising,comprise
trammeled,trammel
undid,undo
misgave,misgive
outshined,outshine
wending,wend
reaves,reave
undercutting,undercut
overspilled,overspill
clothed,clothe
overcoming,overcome
complots,complot
embedded,embed
wawled,wawl
overshooting,overshoot
rises,rise
sambas,samba
misstated,misstate
refocusses,refocus
dissuades,dissuade
insured,insure
fractioned,fraction
paltering,palter
outsang,outsing
trammeling,trammel
should,shall
overdrew,overdraw
spellbound,spellbind
extrapolated,extrapolate
overturned,overturn
cuffing,cuff
subordinated,subordinate
re-proven,re-prove
pistoled,pistol
marshaling,marshal
ritualizing,ritualize
forgot,forget
tiering,tier
overpays,overpay
flouts,flout
frostbitten,frostbite
forsaking,forsake
chanced,chance
misdiagnoses,misdiagnose
fusing,fuse
fostered,foster
undergone,undergo
brings,bring
delimited,delimit
meant,mean
reft,reave
laths,lath
ponding,pond
sainting,saint
brast,burst
understood,understand
punished,punish
blowing,blow
feeds,feed
held,hold
achromatised,achromatise
shoeing,shoe
lynching,lynch
shorn,shear
chelating,chelate
throws,throw
oystering,oyster
deludes,delude
outthrew,outthrow
etched,etch
jests,jest
twinkling,twinkle
biding,bide
misspoke,misspeak
shielding,shield
kids,kid
overslipt,overslip
suspects,suspect
extemporised,extemporise
sunburned,sunburn
fuelling,fuel
forgiving,forgive
dialogues,dialogue
forgave,forgive
surtaxing,surtax
rebuilds,rebuild
disbarring,disbar
hackneys,hackney
blew,blow
boldfaced,boldface
compromises,compromise
cuffs,cuff
goosed,goose
unreels,unreel
rewinds,rewind
shapes,shape
wedding,wed
exuded,exude
yellows,yellow
misheard,mishear
lacquered,lacquer
misdid,misdo
overbuilds,overbuild
spilling,spill
wakes,wake
undoing,undo
vermilioning,vermilion
intrigued,intrigue
dehumanizes,dehumanize
whirring,whir
paralleled,parallel
forecasted,forecast
apportioning,apportion
overeaten,overeat
teaching,teach
throned,throne
yellowed,yellow
clocked,clock
lifeguarding,lifeguard
foretells,foretell
foughten,fight
reaffirms,reaffirm
overpaid,overpay
breaks,break
neighbored,neighbor
dove,dive
corresponds,correspond
blenches,blench
fibrillates,fibrillate
spurning,spurn
refreshened,refreshen
knew,know
beats,beat
values,value
hides,hide
chauffeurs,chauffeur
inbreeding,inbreed
going,go
dehumanized,dehumanize
misspends,misspend
convoking,convoke
suspected,suspect
brailles,braille
invalided,invalid
neatening,neaten
readding,read
wrought,work
surplussing,surplus
stung,sting
outstays,outstay
kenning,ken
nome,nim
am,be
emulsifying,emulsify
beached,beach
skived,skive
screams,scream
swelled,swell
bemired,bemire
bespoken,bespeak
exceeds,exceed
rose,rise
hustling,hustle
rebating,rebate
unbending,unbend
manacles,manacle
overtaken,overtake
redid,redo
prepaying,prepay
ceased,cease
rumples,rumple
lending,lend
beseeched,beseech
commiserated,commiserate
standing,stand
chamfering,chamfer
beseen,besee
drinking,drink
lugeing,luge
croqueted,croquet
trending,trend
fought,fight
overcrowds,overcrowd
overcasts,overcast
glosses,gloss
molt,melt
talking,talk
beholds,behold
surplused,surplus
unclothing,unclothe
slings,sling
underwent,undergo
unbends,unbend
cascades,cascade
ingeminates,ingeminate
immixes,immix
unlearns,unlearn
extrapolates,extrapolate
girt,gird
pipelined,pipeline
upsold,upsell
yeasts,yeast
overbooked,overbook
shivering,shiver
forsworn,forswear
buncoing,bunco
biting,bite
ridden,ride
sliding,slide
vinified,vinify
busheled,bushel
diffracting,diffract
adjured,adjure
wauling,waul
losing,lose
prescribed,prescribe
acidulates,acidulate
caught,catch
fruiting,fruit
misled,mislead
knuckled,knuckle
showed,show
barfed,barf
aluminized,aluminize
tinkled,tinkle
adopted,adopt
shaving,shave
clang,cling
frozen,freeze
breeding,breed
belaboured,belabour
misstates,misstate
sitting,sit
reshooting,reshoot
reissuing,reissue
drizzled,drizzle
handwrit,handwrite
overturning,overturn
overbuying,overbuy
slunk,slink
approves,approve
swells,swell
slayed,slay
benome,benim
oystered,oyster
lighted,light
stampedes,stampede
hounding,hound
complies,comply
twinkled,twinkle
shitted,shit
unloaded,unload
righting,right
lightered,lighter
interleaves,interleave
foregoes,forego
drags,drag
overhanged,overhang
ingeminated,ingeminate
broken,break
runs,run
luxuriating,luxuriate
declares,declare
stomped,stomp
pled,plead
quirts,quirt
slopes,slope
incites,incite
factored,factor
begets,beget
stringing,string
mislearnt,mislearn
snapping,snap
drizzles,drizzle
outstaying,outstay
breaded,bread
aluminizing,aluminize
frostbites,frostbite
dwelt,dwell
says,say
predicts,predict
discarding,discard
pyramided,pyramid
cropping,crop
standen,stand
donated,donate
smashing,smash
chorded,chord
sliming,slime
pleading,plead
scrams,scram
shat,shit
assuming,assume
regrows,regrow
leaned,lean
wroken,wreak
loaning,loan
overbred,overbreed
reexplaining,reexplain
sublets,sublet
rebuilded,rebuild
wove,weave
candied,candy
calumniates,calumniate
bearing,bear
bound,bind
grossed,gross
environing,environ
upholds,uphold
outgrowing,outgrow
bleeds,bleed
exteriorized,exteriorize
thriving,thrive
disgraced,disgrace
underbidding,underbid
girding,gird
clapped,clap
repaid,repay
elevated,elevate
rotated,rotate
sowing,sow
broadcasting,broadcast
misdiagnosed,misdiagnose
forlent,forlend
emigrated,emigrate
dressing,dress
deflates,deflate
handing,hand
stained,stain
reshoots,reshoot
rotating,rotate
spilled,spill
hewing,hew
recompensing,recompense
overcomes,overcome
overswung,overswing
braying,bray
refereed,referee
foredated,foredate
herds,herd
adzed,adze
crusts,crust
kneeling,kneel
outrunning,outrun
disbarred,disbar
stays,stay
swings,swing
slipt,slip
evangelizing,evangelize
toying,toy
duelled,duel
koshers,kosher
forbore,forbear
besets,beset
underbore,underbear
shitting,shit
selling,sell
insults,insult
exudes,exude
overblown,overblow
sawing,saw
overdriven,overdrive
dissembled,dissemble
shrinking,shrink
quantifying,quantify
wrothe,writhe
gasconades,gasconade
sleeps,sleep
overspills,overspill
colligates,colligate
underlaid,underlay
extended,extend
quirting,quirt
pinwheeled,pinwheel
stings,sting
rewrites,rewrite
begat,beget
sanctioning,sanction
wobbled,wobble
underhewed,underhew
wreaks,wreak
masquerades,masquerade
lazied,lazy
thorns,thorn
quieting,quiet
bickered,bicker
misdoes,misdo
cuts,cut
unbound,unbind
interweaved,interweave
leapt,leap
spurns,spurn
vitalizing,vitalize
filtered,filter
freezing,freeze
teaches,teach
sent,send
birched,birch
outdoing,outdo
outbidden,outbid
captivated,captivate
immigrated,immigrate
roved,rove
chose,choose
decalling,decal
spoiling,spoil
miskenned,misken
immixing,immix
treading,tread
built,build
regrown,regrow
formed,form
overbooks,overbook
rebooted,reboot
underfeeding,underfeed
smelled,smell
quirted,quirt
uplifts,uplift
misfed,misfeed
chastising,chastise
restricts,restrict
philanders,philander
continued,continue
intrigues,intrigue
smelling,smell
racketeers,racketeer
brays,bray
explicating,explicate
stood,stand
cocoons,cocoon
ceasing,cease
impelling,impel
shaped,shape
sweeping,sweep
countered,counter
mislaid,mislay
foretold,foretell
rankling,rankle
uncaps,uncap
crosscuts,crosscut
lets,let
sending,send
sped,speed
sneaks,sneak
morseling,morsel
abiding,abide
rewedding,rewed
discarded,discard
accumulated,accumulate
rewrote,rewrite
went,wend
rewedded,rewed
details,detail
elaborating,elaborate
underpaying,underpay
trafficked,traffic
shivered,shiver
oversaw,oversee
wends,wend
declared,declare
smashes,smash
overcrowded,overcrowd
margins,margin
overloading,overload
molten,melt
stampeded,stampede
worthed,worth
moves,move
unclothes,unclothe
glooming,gloom
hosting,host
rappeled,rappel
funked,funk
spitted,spit
waxes,wax
tired,tire
countering,counter
riding,ride
incarnates,incarnate
barricadoed,barricado
compels,compel
fissures,fissure
stinging,sting
slits,slit
vexing,vex
mowing,mow
interbreeds,interbreed
forgone,forgo
palsies,palsy
marshals,marshal
axes,ax
rethinks,rethink
roves,rove
complying,comply
wawling,wawl
dehumanizing,dehumanize
swelted,swelt
unlearnt,unlearn
overslid,overslide
wroke,wreak
slaying,slay
forbidding,forbid
predicting,predict
shivers,shiver
unwinds,unwind
strives,strive
loses,lose
compressed,compress
outlines,outline
reflexes,reflex
unbinding,unbind
walks,walk
vinifies,vinify
hobbed,hob
leading,lead
tires,tire
overslept,oversleep
strews,strew
manacling,manacle
speeded,speed
thatches,thatch
exacerbated,exacerbate
ionizing,ionize
obtruded,obtrude
proofreads,proofread
idled,idle
undergirt,undergird
emulsifies,emulsify
imposted,impost
wears,wear
bespeaking,bespeak
aspires,aspire
triangulated,triangulate
abided,abide
sinks,sink
misdealing,misdeal
chancing,chance
transforming,transform
overcrowding,overcrowd
eradicates,eradicate
bets,bet
coped,cope
argued,argue
pictured,picture
journalling,journal
lied,lie
retrod,retread
leans,lean
saken,sake
ingrafts,ingraft
encapsulated,encapsulate
gloomed,gloom
endangering,endanger
crediting,credit
overdoing,overdo
kept,keep
undergoes,undergo
ridden,rid
undergrown,undergrow
fixes,fix
undersigns,undersign
canvasses,canvass
shitten,shit
absolving,absolve
overdrove,overdrive
clicked,click
vitalizes,vitalize
abrades,abrade
foregrounded,foreground
depicting,depict
shaved,shave
speculates,speculate
irrupts,irrupt
cues,cue
strained,strain
awakes,awake
narked,nark
shriving,shrive
reexplains,reexplain
ionized,ionize
fundraises,fundraise
curtailing,curtail
strengthened,strengthen
overshone,overshine
told,tell
cannibalized,cannibalize
dreamt,dream
toenailing,toenail
lends,lend
enshrouds,enshroud
immixed,immix
oversupplied,oversupply
reeducates,reeducate
fissuring,fissure
overbooking,overbook
overflown,overfly
leaches,leach
polymerizing,polymerize
despaired,despair
cued,cue
rethought,rethink
oversleeps,oversleep
cloven,cleave
overtakes,overtake
arguing,argue
donating,donate
landscaped,landscape
walking,walk
slitted,slit
bolstered,bolster
swam,swim
morselled,morsel
underbound,underbind
overtaking,overtake
fostering,foster
yeasting,yeast
remunerated,remunerate
sees,see
quethen,queath
hostaged,hostage
cuing,cue
detailing,detail
scramming,scram
breads,bread
extends,extend
accedes,accede
grown,grow
misdone,misdo
creamed,cream
slinks,slink
misjudges,misjudge
pipelining,pipeline
misborne,misbear
rephrasing,rephrase
overflies,overfly
spent,spend
upholding,uphold
mizzles,mizzle
crops,crop
oversewed,oversew
archives,archive
buying,buy
smote,smite
shows,show
overdressing,overdress
abode,abide
derating,derate
outdid,outdo
compressing,compress
calumniating,calumniate
accustoms,accustom
antedated,antedate
belabouring,belabour
baulks,baulk
resigns,resign
miswedded,miswed
begins,begin
impels,impel
foreseeing,foresee
barricadoes,barricado
or,queath
underdresses,underdress
preachified,preachify
cutting,cut
fundraised,fundraise
deflating,deflate
wauled,waul
clad,clothe
hid,hide
axing,ax
wills,will
strang,string
uncapping,uncap
overreached,overreach
strived,strive
defaming,defame
flouting,flout
binds,bind
chelates,chelate
accentuated,accentuate
yclept,clepe
striving,strive
redyes,redye
outspending,outspend
stayed,stay
relines,reline
tinsels,tinsel
warred,war
proven,prove
recompenses,recompense
aspiring,aspire
nictitated,nictitate
flickered,flicker
snapped,snap
fundraising,fundraise
buncoes,bunco
betting,bet
dealt,deal
overfed,overfeed
lope,leap
overdrank,overdrink
writhes,writhe
lustring,lustre
aviated,aviate
leached,leach
assented,assent
forming,form
retrodden,retread
comminutes,comminute
underlies,underlie
arterializes,arterialize
descried,descry
learnt,learn
assumed,assume
interbred,interbreed
jolting,jolt
working,work
encrimsoning,encrimson
redeploying,redeploy
refuging,refuge
foredates,foredate
skis,ski
letting,let
lisping,lisp
valuing,value
shrove,shrive
barfing,barf
pardons,pardon
art,be
overslidden,overslide
shits,shit
vitiates,vitiate
overate,overeat
hurting,hurt
dwells,dwell
jesting,jest
rankles,rankle
socketed,socket
grosses,gross
convoked,convoke
overhung,overhang
slang,sling
lain,lie
becoming,become
mown,mow
sawn,saw
bushwhacks,bushwhack
extemporises,extemporise
tinselling,tinsel
brandishes,brandish
slumped,slump
mows,mow
misjudging,misjudge
rereads,reread
sunburning,sunburn
dissuaded,dissuade
drunk,drink
undershoots,undershoot
glossed,gloss
liquored,liquor
assenting,assent
resells,resell
riving,rive
emceeing,emcee
marshaled,marshal
behaves,behave
shaking,shake
foresaw,foresee
sprung,spring
panels,panel
knuckles,knuckle
rising,rise
mislaying,mislay
dueled,duel
frilling,frill
overlapping,overlap
jams,jam
squashed,squash
cashiers,cashier
jolts,jolt
spellbinding,spellbind
illuminated,illuminate
honked,honk
prologizing,prologize
liquoring,liquor
accentuating,accentuate
accentuates,accentuate
overgrown,overgrow
masquerading,masquerade
made,make
proved,prove
elevates,elevate
slays,slay
ravels,ravel
sat,sit
longs,long
braked,brake
panicked,panic
decaled,decal
cleaves,cleave
stricken,strike
trouncing,trounce
seeing,see
contradicts,contradict
reproofing,reproof
browbeating,browbeat
bespake,bespeak
wars,war
backdrops,backdrop
underlays,underlay
shrives,shrive
wreaking,wreak
underpinning,underpin
counters,counter
tenoning,tenon
forspent,forspend
mousetraps,mousetrap
reproofed,reproof
shalt,shall
bombarded,bombard
thatched,thatch
outlining,outline
resigned,resign
brined,brine
gussying,gussy
forswore,forswear
